DR: 0.689515(50), 0.483377(all), eps: 0.200000
DR: 0.730463(50), 0.485814(all), eps: 0.200000
DR: 0.776028(50), 0.488161(all), eps: 0.200000
DR: 0.759796(50), 0.490750(all), eps: 0.200000
DR: 0.750531(50), 0.492816(all), eps: 0.200000
DR: 0.665874(50), 0.494327(all), eps: 0.200000
DR: 0.732310(50), 0.496189(all), eps: 0.200000
DR: 0.686854(50), 0.498059(all), eps: 0.200000
DR: 0.807895(50), 0.500443(all), eps: 0.200000
DR: 0.757740(50), 0.502636(all), eps: 0.200000
DR: 0.740776(50), 0.504440(all), eps: 0.200000
DR: 0.783729(50), 0.506714(all), eps: 0.200000
DR: 0.696576(50), 0.508129(all), eps: 0.200000
DR: 0.767205(50), 0.510341(all), eps: 0.200000
DR: 0.747699(50), 0.512083(all), eps: 0.200000
DR: 0.794936(50), 0.514353(all), eps: 0.200000
DR: 0.763851(50), 0.516156(all), eps: 0.200000
DR: 0.759475(50), 0.518249(all), eps: 0.200000
DR: 0.616832(50), 0.518951(all), eps: 0.200000
DR: 0.809494(50), 0.521344(all), eps: 0.200000
DR: 0.632174(50), 0.522121(all), eps: 0.200000
DR: 0.804577(50), 0.524421(all), eps: 0.200000
DR: 0.706364(50), 0.525679(all), eps: 0.200000
DR: 0.818596(50), 0.527848(all), eps: 0.200000
DR: 0.731885(50), 0.529238(all), eps: 0.200000
DR: 0.711601(50), 0.530791(all), eps: 0.200000
DR: 0.747347(50), 0.532246(all), eps: 0.200000
DR: 0.762894(50), 0.534034(all), eps: 0.200000
DR: 0.816325(50), 0.535904(all), eps: 0.200000
DR: 0.816447(50), 0.537924(all), eps: 0.200000
DR: 0.615341(50), 0.538429(all), eps: 0.200000
DR: 0.734541(50), 0.540001(all), eps: 0.200000
DR: 0.771515(50), 0.541494(all), eps: 0.200000
DR: 0.631370(50), 0.542126(all), eps: 0.200000
DR: 0.740236(50), 0.543386(all), eps: 0.200000
DR: 0.758973(50), 0.545037(all), eps: 0.200000
DR: 0.719899(50), 0.546134(all), eps: 0.200000
DR: 0.697304(50), 0.547235(all), eps: 0.200000
DR: 0.822345(50), 0.548939(all), eps: 0.200000
DR: 0.712098(50), 0.550212(all), eps: 0.200000
DR: 0.679151(50), 0.551000(all), eps: 0.200000
DR: 0.706939(50), 0.552099(all), eps: 0.200000
DR: 0.762268(50), 0.553368(all), eps: 0.200000
DR: 0.767878(50), 0.554922(all), eps: 0.200000
DR: 0.786435(50), 0.556303(all), eps: 0.200000
DR: 0.784884(50), 0.557801(all), eps: 0.200000
DR: 0.747153(50), 0.558916(all), eps: 0.200000
DR: 0.749308(50), 0.560288(all), eps: 0.200000
DR: 0.617247(50), 0.560619(all), eps: 0.200000
DR: 0.749708(50), 0.561966(all), eps: 0.200000
DR: 0.679527(50), 0.562642(all), eps: 0.200000
DR: 0.771035(50), 0.564081(all), eps: 0.200000
DR: 0.736580(50), 0.565061(all), eps: 0.200000
DR: 0.815580(50), 0.566652(all), eps: 0.200000
DR: 0.832358(50), 0.568143(all), eps: 0.200000
DR: 0.608854(50), 0.568576(all), eps: 0.200000
DR: 0.793096(50), 0.569821(all), eps: 0.200000
DR: 0.802244(50), 0.571332(all), eps: 0.200000
DR: 0.717336(50), 0.572132(all), eps: 0.200000
DR: 0.694114(50), 0.572856(all), eps: 0.200000
DR: 0.809084(50), 0.574136(all), eps: 0.200000
