DR: 0.546243(50), 0.187551(all), eps: 0.200000
DR: 0.520812(50), 0.190687(all), eps: 0.200000
DR: 0.560601(50), 0.193679(all), eps: 0.200000
DR: 0.593469(50), 0.197370(all), eps: 0.200000
DR: 0.597431(50), 0.200552(all), eps: 0.200000
DR: 0.609028(50), 0.204403(all), eps: 0.200000
DR: 0.457532(50), 0.206384(all), eps: 0.200000
DR: 0.542063(50), 0.209473(all), eps: 0.200000
DR: 0.499866(50), 0.211708(all), eps: 0.200000
DR: 0.585629(50), 0.214684(all), eps: 0.200000
DR: 0.551173(50), 0.217232(all), eps: 0.200000
DR: 0.570564(50), 0.220371(all), eps: 0.200000
DR: 0.474938(50), 0.222270(all), eps: 0.200000
DR: 0.385753(50), 0.223686(all), eps: 0.200000
DR: 0.466262(50), 0.225467(all), eps: 0.200000
DR: 0.687524(50), 0.228737(all), eps: 0.200000
DR: 0.512662(50), 0.230789(all), eps: 0.200000
DR: 0.588796(50), 0.233638(all), eps: 0.200000
DR: 0.407526(50), 0.234876(all), eps: 0.200000
DR: 0.560191(50), 0.237307(all), eps: 0.200000
DR: 0.489311(50), 0.239076(all), eps: 0.200000
DR: 0.608547(50), 0.242039(all), eps: 0.200000
DR: 0.621761(50), 0.244664(all), eps: 0.200000
DR: 0.515622(50), 0.246748(all), eps: 0.200000
DR: 0.532479(50), 0.248695(all), eps: 0.200000
DR: 0.471507(50), 0.250643(all), eps: 0.200000
DR: 0.584268(50), 0.252885(all), eps: 0.200000
DR: 0.556511(50), 0.255017(all), eps: 0.200000
DR: 0.407360(50), 0.256027(all), eps: 0.200000
DR: 0.430474(50), 0.257276(all), eps: 0.200000
DR: 0.561558(50), 0.259264(all), eps: 0.200000
DR: 0.480592(50), 0.260971(all), eps: 0.200000
DR: 0.571966(50), 0.262976(all), eps: 0.200000
DR: 0.614930(50), 0.265636(all), eps: 0.200000
DR: 0.674043(50), 0.268234(all), eps: 0.200000
DR: 0.652720(50), 0.270898(all), eps: 0.200000
DR: 0.625323(50), 0.273122(all), eps: 0.200000
DR: 0.593376(50), 0.275572(all), eps: 0.200000
DR: 0.544250(50), 0.277236(all), eps: 0.200000
DR: 0.620197(50), 0.279719(all), eps: 0.200000
DR: 0.549517(50), 0.281369(all), eps: 0.200000
DR: 0.525660(50), 0.283246(all), eps: 0.200000
DR: 0.623417(50), 0.285300(all), eps: 0.200000
DR: 0.684197(50), 0.287847(all), eps: 0.200000
DR: 0.629578(50), 0.289885(all), eps: 0.200000
DR: 0.671568(50), 0.292406(all), eps: 0.200000
DR: 0.654827(50), 0.294540(all), eps: 0.200000
DR: 0.653795(50), 0.297054(all), eps: 0.200000
DR: 0.721498(50), 0.299523(all), eps: 0.200000
DR: 0.722724(50), 0.302374(all), eps: 0.200000
DR: 0.739467(50), 0.304886(all), eps: 0.200000
DR: 0.629925(50), 0.307025(all), eps: 0.200000
DR: 0.638119(50), 0.308905(all), eps: 0.200000
DR: 0.600585(50), 0.310771(all), eps: 0.200000
DR: 0.662406(50), 0.312744(all), eps: 0.200000
DR: 0.698438(50), 0.315167(all), eps: 0.200000
DR: 0.640888(50), 0.316973(all), eps: 0.200000
DR: 0.704467(50), 0.319375(all), eps: 0.200000
DR: 0.650136(50), 0.321188(all), eps: 0.200000
DR: 0.624983(50), 0.323064(all), eps: 0.200000
DR: 0.641642(50), 0.324790(all), eps: 0.200000
DR: 0.664903(50), 0.326860(all), eps: 0.200000
DR: 0.393509(50), 0.327217(all), eps: 0.200000
DR: 0.354317(50), 0.327296(all), eps: 0.200000
DR: 0.518158(50), 0.328308(all), eps: 0.200000
DR: 0.349767(50), 0.328572(all), eps: 0.200000
DR: 0.357369(50), 0.328722(all), eps: 0.200000
DR: 0.442988(50), 0.329340(all), eps: 0.200000
DR: 0.420957(50), 0.329815(all), eps: 0.200000
DR: 0.459408(50), 0.330591(all), eps: 0.200000
DR: 0.431609(50), 0.331109(all), eps: 0.200000
DR: 0.487622(50), 0.331963(all), eps: 0.200000
DR: 0.422640(50), 0.332423(all), eps: 0.200000
DR: 0.465860(50), 0.333125(all), eps: 0.200000
